system:index,month,year,.geo
181,2.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,3.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,4.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,5.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,6.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,10.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,11.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,12.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,1.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,3.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,4.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,5.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,6.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,10.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,11.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,12.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
